driver_id,round,position,grid_position,points,status,laps_completed
albon,9,19.0,11.0,0.0,Retired,27.0
russell,10,1.0,1.0,25.0,Finished,70.0
max_verstappen,10,2.0,2.0,18.0,Finished,70.0
antonelli,10,3.0,4.0,15.0,Finished,70.0
piastri,10,4.0,3.0,12.0,Finished,70.0
leclerc,10,5.0,8.0,10.0,Finished,70.0
hamilton,10,6.0,5.0,8.0,Finished,70.0
alonso,10,7.0,6.0,6.0,Finished,70.0
hulkenberg,10,8.0,11.0,4.0,Finished,70.0
ocon,10,9.0,14.0,2.0,Lapped,69.0
sainz,10,10.0,16.0,1.0,Lapped,69.0
bearman,10,11.0,13.0,0.0,Lapped,69.0
tsunoda,10,12.0,18.0,0.0,Lapped,69.0
colapinto,10,13.0,10.0,0.0,Lapped,69.0
bortoleto,10,14.0,15.0,0.0,Lapped,69.0
gasly,10,15.0,20.0,0.0,Lapped,69.0
hadjar,10,16.0,12.0,0.0,Lapped,69.0
stroll,10,17.0,17.0,0.0,Lapped,69.0
norris,10,18.0,7.0,0.0,Retired,66.0
lawson,10,19.0,19.0,0.0,Retired,53.0
albon,10,20.0,9.0,0.0,Retired,46.0
norris,11,1.0,1.0,25.0,Finished,70.0
piastri,11,2.0,3.0,18.0,Finished,70.0
leclerc,11,3.0,2.0,15.0,Finished,70.0
hamilton,11,4.0,4.0,12.0,Finished,70.0
russell,11,5.0,5.0,10.0,Finished,70.0
lawson,11,6.0,6.0,8.0,Finished,70.0
alonso,11,7.0,11.0,6.0,Lapped,69.0
bortoleto,11,8.0,8.0,4.0,Lapped,69.0
hulkenberg,11,9.0,20.0,2.0,Lapped,69.0
ocon,11,10.0,17.0,1.0,Lapped,69.0
bearman,11,11.0,15.0,0.0,Lapped,69.0
hadjar,11,12.0,13.0,0.0,Lapped,69.0
gasly,11,13.0,10.0,0.0,Lapped,69.0
stroll,11,14.0,16.0,0.0,Lapped,69.0
colapinto,11,15.0,14.0,0.0,Lapped,69.0
tsunoda,11,16.0,18.0,0.0,Lapped,68.0
albon,11,17.0,12.0,0.0,Retired,15.0
max_verstappen,11,18.0,7.0,0.0,Retired,0.0
antonelli,11,19.0,9.0,0.0,Retired,0.0
sainz,11,20.0,19.0,0.0,Did not start,0.0
norris,12,1.0,3.0,25.0,Finished,52.0
piastri,12,2.0,2.0,18.0,Finished,52.0
hulkenberg,12,3.0,19.0,15.0,Finished,52.0
hamilton,12,4.0,5.0,12.0,Finished,52.0
max_verstappen,12,5.0,1.0,10.0,Finished,52.0
gasly,12,6.0,8.0,8.0,Finished,52.0
stroll,12,7.0,17.0,6.0,Finished,52.0
albon,12,8.0,13.0,4.0,Finished,52.0
alonso,12,9.0,7.0,2.0,Finished,52.0
russell,12,10.0,4.0,1.0,Finished,52.0
bearman,12,11.0,18.0,0.0,Finished,52.0
sainz,12,12.0,9.0,0.0,Finished,52.0
ocon,12,13.0,14.0,0.0,Finished,52.0
leclerc,12,14.0,6.0,0.0,Finished,52.0
tsunoda,12,15.0,11.0,0.0,Lapped,51.0
antonelli,12,16.0,10.0,0.0,Retired,23.0
hadjar,12,17.0,12.0,0.0,Retired,17.0
bortoleto,12,18.0,16.0,0.0,Retired,3.0
lawson,12,19.0,15.0,0.0,Retired,0.0
colapinto,12,20.0,20.0,0.0,Did not start,0.0
piastri,13,1.0,2.0,25.0,Finished,44.0
norris,13,2.0,1.0,18.0,Finished,44.0
leclerc,13,3.0,3.0,15.0,Finished,44.0
max_verstappen,13,4.0,4.0,12.0,Finished,44.0
russell,13,5.0,6.0,10.0,Finished,44.0
albon,13,6.0,5.0,8.0,Finished,44.0
hamilton,13,7.0,18.0,6.0,Finished,44.0
lawson,13,8.0,9.0,4.0,Finished,44.0
bortoleto,13,9.0,10.0,2.0,Finished,44.0
gasly,13,10.0,13.0,1.0,Finished,44.0
bearman,13,11.0,12.0,0.0,Finished,44.0
hulkenberg,13,12.0,14.0,0.0,Finished,44.0
tsunoda,13,13.0,7.0,0.0,Finished,44.0
stroll,13,14.0,16.0,0.0,Finished,44.0
ocon,13,15.0,11.0,0.0,Finished,44.0
antonelli,13,16.0,19.0,0.0,Finished,44.0
alonso,13,17.0,20.0,0.0,Finished,44.0
sainz,13,18.0,17.0,0.0,Finished,44.0
colapinto,13,19.0,15.0,0.0,Finished,44.0
hadjar,13,20.0,8.0,0.0,Lapped,43.0
norris,14,1.0,3.0,25.0,Finished,70.0
piastri,14,2.0,2.0,18.0,Finished,70.0
russell,14,3.0,4.0,15.0,Finished,70.0
leclerc,14,4.0,1.0,12.0,Finished,70.0
alonso,14,5.0,5.0,10.0,Finished,70.0
